instance_id,n,p,replicate,method,step,expected_energy
ER_n006_p010_r00,6,0.1,0,baseline,78,-0.9142276863805214
ER_n006_p010_r00,6,0.1,0,baseline,79,-0.9449482633744537
ER_n006_p010_r00,6,0.1,0,baseline,80,-0.9755680326628503
ER_n006_p010_r00,6,0.1,0,baseline,81,-1.0058291270788908
ER_n006_p010_r00,6,0.1,0,baseline,82,-1.0354711004664074
ER_n006_p010_r00,6,0.1,0,baseline,83,-1.0642373960639786
ER_n006_p010_r00,6,0.1,0,baseline,84,-1.0918852090577023
ER_n006_p010_r00,6,0.1,0,baseline,85,-1.1181969525745683
ER_n006_p010_r00,6,0.1,0,baseline,86,-1.1429909537034744
ER_n006_p010_r00,6,0.1,0,baseline,87,-1.166129229656965
ER_n006_p010_r00,6,0.1,0,baseline,88,-1.1875210102367932
ER_n006_p010_r00,6,0.1,0,baseline,89,-1.2071216680386538
ER_n006_p010_r00,6,0.1,0,baseline,90,-1.2249274897611526
ER_n006_p010_r00,6,0.1,0,baseline,91,-1.2409670826575834
ER_n006_p010_r00,6,0.1,0,baseline,92,-1.2552902568376922
ER_n006_p010_r00,6,0.1,0,baseline,93,-1.2679552166470953
ER_n006_p010_r00,6,0.1,0,baseline,94,-1.279015037709553
ER_n006_p010_r00,6,0.1,0,baseline,95,-1.288504700767538
ER_n006_p010_r00,6,0.1,0,baseline,96,-1.296430212069755
ER_n006_p010_r00,6,0.1,0,baseline,97,-1.3027613394634538
ER_n006_p010_r00,6,0.1,0,baseline,98,-1.3074291371611373
ER_n006_p010_r00,6,0.1,0,baseline,99,-1.3103288147483854
ER_n006_p010_r00,6,0.1,0,baseline,100,-1.3113278419360634
ER_n006_p010_r00,6,0.1,0,warm_start_sdp,0,-1.999986000004
ER_n006_p010_r00,6,0.1,0,warm_start_sdp,1,-1.9999860025132934
ER_n006_p010_r00,6,0.1,0,warm_start_sdp,2,-1.9999860198062307
ER_n006_p010_r00,6,0.1,0,warm_start_sdp,3,-1.9999860656563835
ER_n006_p010_r00,6,0.1,0,warm_start_sdp,4,-1.9999861522317148
ER_n006_p010_r00,6,0.1,0,warm_start_sdp,5,-1.999986289597475
ER_n006_p010_r00,6,0.1,0,warm_start_sdp,6,-1.9999864853018523
ER_n006_p010_r00,6,0.1,0,warm_start_sdp,7,-1.9999867440636878
ER_n006_p010_r00,6,0.1,0,warm_start_sdp,8,-1.9999870675777385
ER_n006_p010_r00,6,0.1,0,warm_start_sdp,9,-1.9999874544482246
ER_n006_p010_r00,6,0.1,0,warm_start_sdp,10,-1.9999879002560266
ER_n006_p010_r00,6,0.1,0,warm_start_sdp,11,-1.9999883977590747
ER_n006_p010_r00,6,0.1,0,warm_start_sdp,12,-1.9999889372194517
ER_n006_p010_r00,6,0.1,0,warm_start_sdp,13,-1.9999895068447222
ER_n006_p010_r00,6,0.1,0,warm_start_sdp,14,-1.9999900933254755
ER_n006_p010_r00,6,0.1,0,warm_start_sdp,15,-1.999990682446029
ER_n006_p010_r00,6,0.1,0,warm_start_sdp,16,-1.9999912597412326
ER_n006_p010_r00,6,0.1,0,warm_start_sdp,17,-1.9999918111693842
ER_n006_p010_r00,6,0.1,0,warm_start_sdp,18,-1.99999232376972
ER_n006_p010_r00,6,0.1,0,warm_start_sdp,19,-1.9999927862728706
ER_n006_p010_r00,6,0.1,0,warm_start_sdp,20,-1.9999931896341376
ER_n006_p010_r00,6,0.1,0,warm_start_sdp,21,-1.999993527462512
ER_n006_p010_r00,6,0.1,0,warm_start_sdp,22,-1.9999937963228207
ER_n006_p010_r00,6,0.1,0,warm_start_sdp,23,-1.9999939958942283
ER_n006_p010_r00,6,0.1,0,warm_start_sdp,24,-1.9999941289751675
ER_n006_p010_r00,6,0.1,0,warm_start_sdp,25,-1.999994201332342
ER_n006_p010_r00,6,0.1,0,warm_start_sdp,26,-1.999994221399486
ER_n006_p010_r00,6,0.1,0,warm_start_sdp,27,-1.9999941998394424
ER_n006_p010_r00,6,0.1,0,warm_start_sdp,28,-1.9999941489906006
ER_n006_p010_r00,6,0.1,0,warm_start_sdp,29,-1.9999940822253424
ER_n006_p010_r00,6,0.1,0,warm_start_sdp,30,-1.9999940132533742
ER_n006_p010_r00,6,0.1,0,warm_start_sdp,31,-1.9999939554065191
ER_n006_p010_r00,6,0.1,0,warm_start_sdp,32,-1.9999939209432414
ER_n006_p010_r00,6,0.1,0,warm_start_sdp,33,-1.999993920410881
ER_n006_p010_r00,6,0.1,0,warm_start_sdp,34,-1.9999939621010516
ER_n006_p010_r00,6,0.1,0,warm_start_sdp,35,-1.9999940516291521
ER_n006_p010_r00,6,0.1,0,warm_start_sdp,36,-1.9999941916624464
ER_n006_p010_r00,6,0.1,0,warm_start_sdp,37,-1.9999943818131745
ER_n006_p010_r00,6,0.1,0,warm_start_sdp,38,-1.9999946187039108
ER_n006_p010_r00,6,0.1,0,warm_start_sdp,39,-1.9999948962025569
ER_n006_p010_r00,6,0.1,0,warm_start_sdp,40,-1.9999952058143813
ER_n006_p010_r00,6,0.1,0,warm_start_sdp,41,-1.9999955372090166
ER_n006_p010_r00,6,0.1,0,warm_start_sdp,42,-1.9999958788520342
ER_n006_p010_r00,6,0.1,0,warm_start_sdp,43,-1.9999962187039304
ER_n006_p010_r00,6,0.1,0,warm_start_sdp,44,-1.9999965449448163
ER_n006_p010_r00,6,0.1,0,warm_start_sdp,45,-1.999996846680966
ER_n006_p010_r00,6,0.1,0,warm_start_sdp,46,-1.9999971145899458
ER_n006_p010_r00,6,0.1,0,warm_start_sdp,47,-1.9999973414644046
ER_n006_p010_r00,6,0.1,0,warm_start_sdp,48,-1.9999975226204887
ER_n006_p010_r00,6,0.1,0,warm_start_sdp,49,-1.9999976561450896
ER_n006_p010_r00,6,0.1,0,warm_start_sdp,50,-1.999997742966214
ER_n006_p010_r00,6,0.1,0,warm_start_sdp,51,-1.999997786742042
ER_n006_p010_r00,6,0.1,0,warm_start_sdp,52,-1.999997793576013
ER_n006_p010_r00,6,0.1,0,warm_start_sdp,53,-1.9999977715768131
ER_n006_p010_r00,6,0.1,0,warm_start_sdp,54,-1.9999977302925689
ER_n006_p010_r00,6,0.1,0,warm_start_sdp,55,-1.9999976800571888
ER_n006_p010_r00,6,0.1,0,warm_start_sdp,56,-1.9999976312929686
ER_n006_p010_r00,6,0.1,0,warm_start_sdp,57,-1.9999975938168209
ER_n006_p010_r00,6,0.1,0,warm_start_sdp,58,-1.9999975761974274
ER_n006_p010_r00,6,0.1,0,warm_start_sdp,59,-1.9999975852073288
ER_n006_p010_r00,6,0.1,0,warm_start_sdp,60,-1.9999976254073901
ER_n006_p010_r00,6,0.1,0,warm_start_sdp,61,-1.9999976988918624
ER_n006_p010_r00,6,0.1,0,warm_start_sdp,62,-1.9999978052107665
ER_n006_p010_r00,6,0.1,0,warm_start_sdp,63,-1.9999979414736186
ER_n006_p010_r00,6,0.1,0,warm_start_sdp,64,-1.9999981026252234
ER_n006_p010_r00,6,0.1,0,warm_start_sdp,65,-1.9999982818716655
ER_n006_p010_r00,6,0.1,0,warm_start_sdp,66,-1.9999984712234342
ER_n006_p010_r00,6,0.1,0,warm_start_sdp,67,-1.999998662113929
ER_n006_p010_r00,6,0.1,0,warm_start_sdp,68,-1.999998846045961
ER_n006_p010_r00,6,0.1,0,warm_start_sdp,69,-1.9999990152169127
ER_n006_p010_r00,6,0.1,0,warm_start_sdp,70,-1.999999163075075
ER_n006_p010_r00,6,0.1,0,warm_start_sdp,71,-1.9999992847653205
ER_n006_p010_r00,6,0.1,0,warm_start_sdp,72,-1.9999993774312657
ER_n006_p010_r00,6,0.1,0,warm_start_sdp,73,-1.9999994403528012
ER_n006_p010_r00,6,0.1,0,warm_start_sdp,74,-1.999999474911272
ER_n006_p010_r00,6,0.1,0,warm_start_sdp,75,-1.9999994843888191
ER_n006_p010_r00,6,0.1,0,warm_start_sdp,76,-1.9999994736219535
ER_n006_p010_r00,6,0.1,0,warm_start_sdp,77,-1.9999994485414623
ER_n006_p010_r00,6,0.1,0,warm_start_sdp,78,-1.999999415639977
ER_n006_p010_r00,6,0.1,0,warm_start_sdp,79,-1.9999993814142152
ER_n006_p010_r00,6,0.1,0,warm_start_sdp,80,-1.9999993518305017
ER_n006_p010_r00,6,0.1,0,warm_start_sdp,81,-1.9999993318594513
ER_n006_p010_r00,6,0.1,0,warm_start_sdp,82,-1.9999993251188124
ER_n006_p010_r00,6,0.1,0,warm_start_sdp,83,-1.9999993336531383
ER_n006_p010_r00,6,0.1,0,warm_start_sdp,84,-1.9999993578658817
ER_n006_p010_r00,6,0.1,0,warm_start_sdp,85,-1.9999993966050669
ER_n006_p010_r00,6,0.1,0,warm_start_sdp,86,-1.9999994473891316
ER_n006_p010_r00,6,0.1,0,warm_start_sdp,87,-1.9999995067462284
ER_n006_p010_r00,6,0.1,0,warm_start_sdp,88,-1.9999995706296718
ER_n006_p010_r00,6,0.1,0,warm_start_sdp,89,-1.99999963486519
ER_n006_p010_r00,6,0.1,0,warm_start_sdp,90,-1.9999996955831878
ER_n006_p010_r00,6,0.1,0,warm_start_sdp,91,-1.999999749591428
ER_n006_p010_r00,6,0.1,0,warm_start_sdp,92,-1.9999997946504648
ER_n006_p010_r00,6,0.1,0,warm_start_sdp,93,-1.9999998296250154
ER_n006_p010_r00,6,0.1,0,warm_start_sdp,94,-1.9999998544983035
ER_n006_p010_r00,6,0.1,0,warm_start_sdp,95,-1.9999998702517565
ER_n006_p010_r00,6,0.1,0,warm_start_sdp,96,-1.9999998786276423
ER_n006_p010_r00,6,0.1,0,warm_start_sdp,97,-1.999999881805802
ER_n006_p010_r00,6,0.1,0,warm_start_sdp,98,-1.9999998820357203
ER_n006_p010_r00,6,0.1,0,warm_start_sdp,99,-1.9999998812708735
ER_n006_p010_r00,6,0.1,0,warm_start_sdp,100,-1.9999998808524844
ER_n006_p010_r01,6,0.1,1,baseline,0,3.5
ER_n006_p010_r01,6,0.1,1,baseline,1,3.4984178173320775
ER_n006_p010_r01,6,0.1,1,baseline,2,3.4875776787169426
ER_n006_p010_r01,6,0.1,1,baseline,3,3.459170614467655
ER_n006_p010_r01,6,0.1,1,baseline,4,3.406485996899448
ER_n006_p010_r01,6,0.1,1,baseline,5,3.324907478614521
ER_n006_p010_r01,6,0.1,1,baseline,6,3.2122205874907928
ER_n006_p010_r01,6,0.1,1,baseline,7,3.068695266920127
ER_n006_p010_r01,6,0.1,1,baseline,8,2.8969340531149497
ER_n006_p010_r01,6,0.1,1,baseline,9,2.701505810311517
ER_n006_p010_r01,6,0.1,1,baseline,10,2.488412169273679
ER_n006_p010_r01,6,0.1,1,baseline,11,2.264455011529641
ER_n006_p010_r01,6,0.1,1,baseline,12,2.036584921966581
ER_n006_p010_r01,6,0.1,1,baseline,13,1.8113101566429846
ER_n006_p010_r01,6,0.1,1,baseline,14,1.594233002051797
ER_n006_p010_r01,6,0.1,1,baseline,15,1.3897574686045817
ER_n006_p010_r01,6,0.1,1,baseline,16,1.200983235031936
ER_n006_p010_r01,6,0.1,1,baseline,17,1.0297710971115661
ER_n006_p010_r01,6,0.1,1,baseline,18,0.8769403606901589
ER_n006_p010_r01,6,0.1,1,baseline,19,0.7425428987433033
ER_n006_p010_r01,6,0.1,1,baseline,20,0.6261540567508137
ER_n006_p010_r01,6,0.1,1,baseline,21,0.5271268879812857
ER_n006_p010_r01,6,0.1,1,baseline,22,0.4447708869302343
ER_n006_p010_r01,6,0.1,1,baseline,23,0.37843574500938637
ER_n006_p010_r01,6,0.1,1,baseline,24,0.3275006623767377
ER_n006_p010_r01,6,0.1,1,baseline,25,0.29128696058013676
ER_n006_p010_r01,6,0.1,1,baseline,26,0.26892380342136285
ER_n006_p010_r01,6,0.1,1,baseline,27,0.2592026735123891
ER_n006_p010_r01,6,0.1,1,baseline,28,0.26045593192388244
ER_n006_p010_r01,6,0.1,1,baseline,29,0.27048919336439703
ER_n006_p010_r01,6,0.1,1,baseline,30,0.2865877360196566
ER_n006_p010_r01,6,0.1,1,baseline,31,0.3056052777941659
ER_n006_p010_r01,6,0.1,1,baseline,32,0.3241307514560357
ER_n006_p010_r01,6,0.1,1,baseline,33,0.33871671016596205
ER_n006_p010_r01,6,0.1,1,baseline,34,0.34614312272260067
ER_n006_p010_r01,6,0.1,1,baseline,35,0.3436838712924546
ER_n006_p010_r01,6,0.1,1,baseline,36,0.3293412747296799
ER_n006_p010_r01,6,0.1,1,baseline,37,0.30201698416398337
ER_n006_p010_r01,6,0.1,1,baseline,38,0.2615954872928773
ER_n006_p010_r01,6,0.1,1,baseline,39,0.20892822094873026
ER_n006_p010_r01,6,0.1,1,baseline,40,0.14572013848994952
ER_n006_p010_r01,6,0.1,1,baseline,41,0.07433420944845337
ER_n006_p010_r01,6,0.1,1,baseline,42,-0.0024595973739182375
ER_n006_p010_r01,6,0.1,1,baseline,43,-0.08175765051976258
ER_n006_p010_r01,6,0.1,1,baseline,44,-0.16078390565938877
ER_n006_p010_r01,6,0.1,1,baseline,45,-0.23710885751143052
ER_n006_p010_r01,6,0.1,1,baseline,46,-0.3088045663117845
ER_n006_p010_r01,6,0.1,1,baseline,47,-0.37452533274334854
ER_n006_p010_r01,6,0.1,1,baseline,48,-0.43351525861511164
ER_n006_p010_r01,6,0.1,1,baseline,49,-0.48555396433501996
ER_n006_p010_r01,6,0.1,1,baseline,50,-0.5308585635586872
ER_n006_p010_r01,6,0.1,1,baseline,51,-0.5699628820265296
ER_n006_p010_r01,6,0.1,1,baseline,52,-0.6035940167620276
ER_n006_p010_r01,6,0.1,1,baseline,53,-0.6325625312619284
ER_n006_p010_r01,6,0.1,1,baseline,54,-0.657677087300981
ER_n006_p010_r01,6,0.1,1,baseline,55,-0.6796883424319
ER_n006_p010_r01,6,0.1,1,baseline,56,-0.6992614909992261
ER_n006_p010_r01,6,0.1,1,baseline,57,-0.7169725867053944
ER_n006_p010_r01,6,0.1,1,baseline,58,-0.7333211515861335
ER_n006_p010_r01,6,0.1,1,baseline,59,-0.7487506843741076
ER_n006_p010_r01,6,0.1,1,baseline,60,-0.7636694140673106
ER_n006_p010_r01,6,0.1,1,baseline,61,-0.7784656241269359
ER_n006_p010_r01,6,0.1,1,baseline,62,-0.7935145043718068
ER_n006_p010_r01,6,0.1,1,baseline,63,-0.809176113201719
ER_n006_p010_r01,6,0.1,1,baseline,64,-0.8257861290551498
ER_n006_p010_r01,6,0.1,1,baseline,65,-0.8436423566217048
ER_n006_p010_r01,6,0.1,1,baseline,66,-0.8629903692121209
ER_n006_p010_r01,6,0.1,1,baseline,67,-0.8840113130075461
ER_n006_p010_r01,6,0.1,1,baseline,68,-0.9068140080022554
ER_n006_p010_r01,6,0.1,1,baseline,69,-0.9314323798528821
ER_n006_p010_r01,6,0.1,1,baseline,70,-0.9578282331904047
ER_n006_p010_r01,6,0.1,1,baseline,71,-0.9858985664177836
ER_n006_p010_r01,6,0.1,1,baseline,72,-1.0154860446853873
ER_n006_p010_r01,6,0.1,1,baseline,73,-1.0463909015163273
ER_n006_p010_r01,6,0.1,1,baseline,74,-1.0783824903223405
ER_n006_p010_r01,6,0.1,1,baseline,75,-1.1112090146798492
ER_n006_p010_r01,6,0.1,1,baseline,76,-1.1446046167812092
ER_n006_p010_r01,6,0.1,1,baseline,77,-1.1782938695593121
ER_n006_p010_r01,6,0.1,1,baseline,78,-1.2119945683431415
ER_n006_p010_r01,6,0.1,1,baseline,79,-1.2454202891114527
ER_n006_p010_r01,6,0.1,1,baseline,80,-1.2782842769622325
ER_n006_p010_r01,6,0.1,1,baseline,81,-1.3103057833221348
ER_n006_p010_r01,6,0.1,1,baseline,82,-1.3412190714933838
ER_n006_p010_r01,6,0.1,1,baseline,83,-1.3707842249187236
ER_n006_p010_r01,6,0.1,1,baseline,84,-1.3987980209791466
ER_n006_p010_r01,6,0.1,1,baseline,85,-1.425102822746309
ER_n006_p010_r01,6,0.1,1,baseline,86,-1.449591787002551
ER_n006_p010_r01,6,0.1,1,baseline,87,-1.4722094944191795
ER_n006_p010_r01,6,0.1,1,baseline,88,-1.4929480250479363
ER_n006_p010_r01,6,0.1,1,baseline,89,-1.51183920550412
ER_n006_p010_r01,6,0.1,1,baseline,90,-1.5289440895222695
ER_n006_p010_r01,6,0.1,1,baseline,91,-1.5443407534791582
ER_n006_p010_r01,6,0.1,1,baseline,92,-1.5581113730668976
ER_n006_p010_r01,6,0.1,1,baseline,93,-1.570329473615356
ER_n006_p010_r01,6,0.1,1,baseline,94,-1.5810482881580565
ER_n006_p010_r01,6,0.1,1,baseline,95,-1.5902912600712902
ER_n006_p010_r01,6,0.1,1,baseline,96,-1.5980457648811823
ER_n006_p010_r01,6,0.1,1,baseline,97,-1.6042609912111003
ER_n006_p010_r01,6,0.1,1,baseline,98,-1.6088505881981323
ER_n006_p010_r01,6,0.1,1,baseline,99,-1.6117002174216382
ER_n006_p010_r01,6,0.1,1,baseline,100,-1.6126796427740606
ER_n006_p010_r01,6,0.1,1,warm_start_sdp,0,-1.4999858828299117
ER_n006_p010_r01,6,0.1,1,warm_start_sdp,1,-1.5000187095881055
ER_n006_p010_r01,6,0.1,1,warm_start_sdp,2,-1.5002405037863633
ER_n006_p010_r01,6,0.1,1,warm_start_sdp,3,-1.5008067218925387
ER_n006_p010_r01,6,0.1,1,warm_start_sdp,4,-1.5018178019574957
ER_n006_p010_r01,6,0.1,1,warm_start_sdp,5,-1.5033081702861684
ER_n006_p010_r01,6,0.1,1,warm_start_sdp,6,-1.5052458812790825
ER_n006_p010_r01,6,0.1,1,warm_start_sdp,7,-1.5075418400982215
ER_n006_p010_r01,6,0.1,1,warm_start_sdp,8,-1.5100662814703645
ER_n006_p010_r01,6,0.1,1,warm_start_sdp,9,-1.5126694182983194
ER_n006_p010_r01,6,0.1,1,warm_start_sdp,10,-1.5152029644314526
ER_n006_p010_r01,6,0.1,1,warm_start_sdp,11,-1.5175395229311937
ER_n006_p010_r01,6,0.1,1,warm_start_sdp,12,-1.5195874967597363
ER_n006_p010_r01,6,0.1,1,warm_start_sdp,13,-1.5213000706641826
ER_n006_p010_r01,6,0.1,1,warm_start_sdp,14,-1.5226777726548537
ER_n006_p010_r01,6,0.1,1,warm_start_sdp,15,-1.5237650101529132
ER_n006_p010_r01,6,0.1,1,warm_start_sdp,16,-1.5246416831805725
ER_n006_p010_r01,6,0.1,1,warm_start_sdp,17,-1.5254114411354824
ER_n006_p010_r01,6,0.1,1,warm_start_sdp,18,-1.5261883503490663
ER_n006_p010_r01,6,0.1,1,warm_start_sdp,19,-1.527083694309911
ER_n006_p010_r01,6,0.1,1,warm_start_sdp,20,-1.528194383059319
ER_n006_p010_r01,6,0.1,1,warm_start_sdp,21,-1.5295940657408171
ER_n006_p010_r01,6,0.1,1,warm_start_sdp,22,-1.5313275891777225
ER_n006_p010_r01,6,0.1,1,warm_start_sdp,23,-1.533408990165277
ER_n006_p010_r01,6,0.1,1,warm_start_sdp,24,-1.5358228031362051
ER_n006_p010_r01,6,0.1,1,warm_start_sdp,25,-1.53852814568695
ER_n006_p010_r01,6,0.1,1,warm_start_sdp,26,-1.5414648328354708
ER_n006_p010_r01,6,0.1,1,warm_start_sdp,27,-1.5445606714522957
ER_n006_p010_r01,6,0.1,1,warm_start_sdp,28,-1.5477390902983164
ER_n006_p010_r01,6,0.1,1,warm_start_sdp,29,-1.5509263500413886
ER_n006_p010_r01,6,0.1,1,warm_start_sdp,30,-1.5540577273613378
ER_n006_p010_r01,6,0.1,1,warm_start_sdp,31,-1.557082251789504
ER_n006_p010_r01,6,0.1,1,warm_start_sdp,32,-1.5599657686163424
ER_n006_p010_r01,6,0.1,1,warm_start_sdp,33,-1.5626922851025622
ER_n006_p010_r01,6,0.1,1,warm_start_sdp,34,-1.5652637145578887
ER_n006_p010_r01,6,0.1,1,warm_start_sdp,35,-1.567698253533591
ER_n006_p010_r01,6,0.1,1,warm_start_sdp,36,-1.570027706885399
ER_n006_p010_r01,6,0.1,1,warm_start_sdp,37,-1.5722941141147653
ER_n006_p010_r01,6,0.1,1,warm_start_sdp,38,-1.574546032287302
ER_n006_p010_r01,6,0.1,1,warm_start_sdp,39,-1.5768348026416685
ER_n006_p010_r01,6,0.1,1,warm_start_sdp,40,-1.579211077819969
ER_n006_p010_r01,6,0.1,1,warm_start_sdp,41,-1.581721822888955
ER_n006_p010_r01,6,0.1,1,warm_start_sdp,42,-1.584407933882853
ER_n006_p010_r01,6,0.1,1,warm_start_sdp,43,-1.5873025492639585
